timestamp,precision@5,recall@5,diversity,novelty,coverage,personalization,num_songs,num_users
2025-04-25 08:35:41,0.65,0.55,1.0,0.4593333333333333,0.0003700140605343003,0.75,40539,5
2025-04-25 08:35:48,0.65,0.55,1.0,0.4593333333333333,0.0003700140605343003,0.75,40539,5
2025-04-25 08:38:03,0.65,0.55,1.0,0.4593333333333333,0.0003700140605343003,0.75,40539,5
2025-04-25 08:38:09,0.65,0.55,1.0,0.4593333333333333,0.0003700140605343003,0.75,40539,5
2025-04-25 10:47:41,0.65,0.55,1.0,0.4593333333333333,0.0003700140605343003,0.75,40539,6
2025-04-25 10:47:48,0.65,0.55,1.0,0.4593333333333333,0.0003700140605343003,0.75,40539,6
2025-04-25 10:52:41,0.65,0.55,1.0,0.4593333333333333,0.0003700140605343003,0.75,40539,6
2025-04-25 10:52:47,0.65,0.55,1.0,0.4593333333333333,0.0003700140605343003,0.75,40539,6
2025-04-25 11:02:42,0.65,0.55,1.0,0.4593333333333333,0.0003700140605343003,0.75,40539,6
2025-04-25 11:02:48,0.65,0.55,1.0,0.4593333333333333,0.0003700140605343003,0.75,40539,6
